creator_clean,gender,birth_year,match_status
Maria Kokkinou-Bitsaki,unknown,,not_found
Varlas Ioannis,unknown,,not_found
Mina Bertamina-Panagou,unknown,,not_found
Kostas Papadopoulos,male,1956,matched
Katsouli-Fastre Ekaterini,unknown,,not_found
Papanikolaou Nikolaos,unknown,,not_found
Papa Nina,unknown,,not_found
Choriatellis Ioannis,unknown,,not_found
Petros Batsiaris,unknown,,not_found
Tsevis Epaminondas,unknown,,not_found
Ctenas Alekos,unknown,,not_found
Maria Karavela,unknown,,not_found
Pepi Svoronou-Kokkinidou,unknown,,not_found
Kalandzidis Paulina,unknown,,not_found
Petrolia-Kandri Elisavet,unknown,,not_found
Parastatidou Nellis,unknown,,not_found
Melina Papageorgiou,unknown,,not_found
Plato-Kuczera Aigli,unknown,,not_found
Hatzopoulou Irini,unknown,,not_found
Marinos Kouridakis,unknown,,not_found
Konstantinos Papastavrou,male,1880,matched
Dimitra Kourbeli,unknown,,not_found
Black-headed Cat,unknown,,not_found
Pavlos Sideris,unknown,,not_found
Kopana Maria,unknown,,not_found
Iliakis Kostas,unknown,,not_found
Black-Brembo Pizza,unknown,,not_found
Christidis Christos,unknown,,not_found
Argiriou K.,unknown,,not_found
Lachaniotou Irini,unknown,,not_found
Jani-Ginnerup Chara,unknown,,not_found
Lamprou Spyros,unknown,,not_found
Glinos Antonis,unknown,,not_found
Nice win,unknown,,not_found
Sakellariou Akakia,unknown,,not_found
Feradouros Dionysios,unknown,,not_found
Petros Karagiannis,unknown,,not_found
Tsar Kostas,unknown,,not_found
Katerina Vavlitou-Bakoulis,unknown,,not_found
Vostantzoglou-Vlastari Ioanna,unknown,,not_found
Michael Agraniotis,unknown,,not_found
George Tsiouris,unknown,,not_found
Stavraki Regina,unknown,,not_found
Asimako Florence,unknown,,not_found
Athanasopoulos Theodoros,unknown,,not_found
"Μαβίδης, Γιάννης",unknown,,not_found
Raptis Yiannis,unknown,,not_found
Georgiula Evangelia,unknown,,not_found
"Χαντέ, Μαρία",unknown,,not_found
Kakouri-Brazizs Lena,unknown,,not_found
Citizen Anastasios,unknown,,not_found
Romanou Erasmia,unknown,,not_found
Veniadis Kyrillos,unknown,,not_found
Husu Elli,unknown,,not_found
Bolieraki Konstantina,unknown,,not_found
"Goren, Ayal Delico",unknown,,not_found
"Κοκκινίδης, Δημοσθένης",unknown,,not_found
Γιαννακά Κατερίνα,unknown,,not_found
Berchtold Karl,unknown,,not_found
"Βλαχόπουλος, Χ.",unknown,,not_found
Vassilakou Margarita,unknown,,not_found
Kontogouris Themistokles,unknown,,not_found
Eleni Revi,unknown,,not_found
Hanenbergh Maria Rudophine,unknown,,not_found
Livani Fotini,unknown,,not_found
Shop Elsa,unknown,,not_found
Eleana Chaviara,unknown,,not_found
"Σωτρόπου-Γεωργίου, Ν.",unknown,,not_found
Paraskevopoulou Sophia,unknown,,not_found
Aedonidis Ilias,unknown,,not_found
Vasilios Kotsios,unknown,,not_found
Bazou Evangelia,unknown,,not_found
Moira Calliope Maria,unknown,,not_found
Green Heaven,unknown,,not_found
George Lambrakis,unknown,,not_found
Τζαλ,unknown,,not_found
"Bauer, Kari",unknown,,not_found
"Καρτέρης, Γιώργος",unknown,,not_found
Βσιλειάδης Θ.,unknown,,not_found
Theodorou Angeliki,unknown,,not_found
"Μηλιάδης, Στ.",unknown,,not_found
"Τούγιας, Γιώργος",unknown,,not_found
"Πασχάλης, Κωστής",unknown,,not_found
"Κουβάκις, Γιώργος",unknown,,not_found
Maria Sidiropoulou,unknown,,not_found
Salaris Ilias,unknown,,not_found
Briscola-Andersen Anastasia,unknown,,not_found
Evangelia Svokou,unknown,,not_found
Agavanaki Argiri,unknown,,not_found
Nikolaos Georgopoulos,male,1937,matched
George Karamalegos,unknown,,not_found
Sivridakis Emmanuel,unknown,,not_found
Eleni Argyropoulou,unknown,,not_found
Eleni Papaioannou,unknown,,not_found
Albanis Emmanuel,unknown,,not_found
Skouludi Magnolia,unknown,,not_found
Despina Vafea,unknown,,not_found
Papanikolaou Sofokles,unknown,,not_found
Goodbye Anna,unknown,,not_found
Andreas Skurogiannis,unknown,,not_found
Babali Ioanna,unknown,,not_found
Stavridou Georgia,unknown,,not_found
Gospel call,unknown,,not_found
Matsouki Irini,unknown,,not_found
Christina Papaskarlatou,unknown,,not_found
Shigenobu Hisashi,unknown,,not_found
Konstantinos Siafakas,unknown,,not_found
Plesas Konstantinos,unknown,,not_found
Karypoglou Kosmas,unknown,,not_found
Angelou Eleni,unknown,,not_found
Antoniadis G.,unknown,,not_found
Taka Athena,unknown,,not_found
Alexandros Mavridis,male,1983,matched
"Δημήτρης, Πικρός",unknown,,not_found
"Galis, Petru",male,1943,matched
Bordoni Erietta,unknown,,not_found
Bourga Louisa,unknown,,not_found
Seisaki Eleftheria,unknown,,not_found
Malamas Petros,unknown,,not_found
Laouraki Marouso,unknown,,not_found
Nikolaos Lantzounis,unknown,,not_found
Gotsis Dimitrios,unknown,,not_found
Garvilos Haris,unknown,,not_found
Dzakos Aristotelis,unknown,,not_found
Androutsakis Stathis,unknown,,not_found
Nikolaos Takiadis,unknown,,not_found
Tzanoglou Polymnia,unknown,,not_found
Devetzis Andreas,unknown,,not_found
Seitanis Georgios,unknown,,not_found
Case Marigo,unknown,,not_found
Kanellopoulou Maria,unknown,,not_found
Dimitris Papadopoulos,male,1981,matched
Duma Sofia,unknown,,not_found
Dimitra Kamaraki-Zoidi,unknown,,not_found
Vertsoni Angeliki,unknown,,not_found
Litina Maria,unknown,,not_found
Sheirli Maria,unknown,,not_found
Ganuta Louisa,unknown,,not_found
Christea Maria,unknown,,not_found
Papadopoulos Panagiotis,unknown,,not_found
Sugar Elsa,unknown,,not_found
Panagiotou Angelos,unknown,,not_found
Sarri Lydia,unknown,,not_found
Pologiorgi Styliani,unknown,,not_found
Petroulakis Antonios,unknown,,not_found
Katsireas Stavrianos,unknown,,not_found
Kyros Sunday,unknown,,not_found
Akalestou Roula,unknown,,not_found
Aggelis Marinos,unknown,,not_found
Georgios Souliotis,unknown,,not_found
Xenakis Thodoros,unknown,,not_found
Dagazidis Panagiotis,unknown,,not_found
George Gerokidis,unknown,,not_found
Michael Louloudis,unknown,,not_found
Leousi Science,unknown,,not_found
Maria Antoniou,female,1964,matched
Koliopanou Evangelia,unknown,,not_found
Maroudi Maria,unknown,,not_found
Georgios Kourkouvelos,unknown,,not_found
Minaretzopoulos Ioannis,unknown,,not_found
Giannakoudis Efstratios,unknown,,not_found
Marasidou Margarita,unknown,,not_found
Kalogeras Ioannis,unknown,,not_found
Georgia Ntalagiorgou,unknown,,not_found
Velissaropoulos Zois,unknown,,not_found
"Τουλιάτου, Γεωργία",unknown,,not_found
"Ganis, Maurice",male,1973,matched
John,male,1383,matched
Virgin Xara,unknown,,not_found
Korbis Tryfon,unknown,,not_found
Argyroiliopoulou Gr.,unknown,,not_found
Nikolaos Christoforakis,unknown,,not_found
Despina Rabia,unknown,,not_found
Diakoumis Stavros,unknown,,not_found
Katerina Apostolidou,female,1960,matched
Zazani Ekaterini,unknown,,not_found
Smyrniotou Myrto,unknown,,not_found
Lampropoulou Theodora,unknown,,not_found
Giokas Efthimios,unknown,,not_found
Pantazis Georgios,unknown,,not_found
George Polyzos,male,,matched
George Kalogiannis,unknown,,not_found
Sideratos Antonios,unknown,,not_found
Elisabeth Prusalidou,unknown,,not_found
Dimitris Ratsikas,unknown,,not_found
Tsirogiannis Apostolos,unknown,,not_found
Ax Royal,unknown,,not_found
Charonitis Konstantinos,unknown,,not_found
Bayet Janine,unknown,,not_found
Tselios Konstantinos,unknown,,not_found
Dialect of Gratitude,unknown,,not_found
Victoria Galerou,unknown,,not_found
Stamatiou Lela,unknown,,not_found
Psyropoulou-Karayanni Evdoxia,unknown,,not_found
Sugar Heaven,unknown,,not_found
Nikitas Theologitis,unknown,,not_found
Stergiou Spyros,unknown,,not_found
Kostopoulos Kleomenis,unknown,,not_found
Haralambous Elizabeth,unknown,,not_found
Driva Argyro,unknown,,not_found
Christina Yannikou,unknown,,not_found
Mertilis-Myrtiloglou Sarantis,unknown,,not_found
Katsouli-Katsoulaki Chariklia,unknown,,not_found
Kyrou K.,unknown,,not_found
Gika Theofanou,unknown,,not_found
Antoniadis Irini,unknown,,not_found
Loukidou-Tsiati Kallirroi,unknown,,not_found
Befon-Vassiliadou Gospel,unknown,,not_found
"Νίκου, Γιάννης",unknown,,not_found
Κοσμαδόπουλος Γιώργος,unknown,,not_found
Gazette Vasiliki,unknown,,not_found
Laubies René,unknown,,not_found
"Μάνος, Φίλιππος",unknown,,not_found
Georgiou Ioannis,unknown,,not_found
Familiaris Dimitris,unknown,,not_found
Michael Olympia,unknown,,not_found
Iliopoulou Maria,unknown,,not_found
Duke Danae,unknown,,not_found
Alexandros Bouras,unknown,,not_found
Zoe Vasiliki-Sappho,unknown,,not_found
George Behrakis,unknown,,not_found
Daskalopoulou Silia,unknown,,not_found
Karousos Giannis,unknown,,not_found
Antonis Miriagkos,unknown,,not_found
Verykios Spyros,unknown,,not_found
Photoglou Eleni,unknown,,not_found
Christos Adamopoulos,male,,matched
Dayanda Maria,unknown,,not_found
Visvardi Zoi,unknown,,not_found
Georgiadou Nikoletta,unknown,,not_found
Efthimiou Ioanna,unknown,,not_found
Isakidis Alexandra,unknown,,not_found
Haralambidou Eleftheria,unknown,,not_found
Sorrowful Ilias,unknown,,not_found
Demosthenes of Pasadena,unknown,,not_found
Smaragda Papoulia-Vasilakouli,unknown,,not_found
"Velickovic, Vladimir",unknown,,not_found
Kentucky Gospel,unknown,,not_found
Kilias George,unknown,,not_found
Douramanis Periklis,unknown,,not_found
Filippakis Emmanuel,unknown,,not_found
Despina Mega,unknown,,not_found
Roxani Chrysoula,unknown,,not_found
Philip Apostolos,unknown,,not_found
Baltogiannis Stavros,unknown,,not_found
Kouri Erasmia,unknown,,not_found
Zampetoglou A.,unknown,,not_found
"Δημακοπούλου, Τζούλια",unknown,,not_found
Konstantinos Papadopoulos,male,1983,matched
Katerina Shoina,unknown,,not_found
Skarveli Lila,unknown,,not_found
Papanikolaou Chrysafou,unknown,,not_found
Laskaridou Anna,unknown,,not_found
Malaki Efrosyni,unknown,,not_found
Giotakis Konstantinos,unknown,,not_found
Konstantinidis Thanasis,unknown,,not_found
Nikolaos Karabelas,male,1984,matched
Palaeologus Konstantinos,unknown,,not_found
Ekaterini Stathakopoulou,unknown,,not_found
Kelaidis Vassilis,unknown,,not_found
Massia Nefeli,unknown,,not_found
Stefanos Zannis,unknown,,not_found
Dimitra Marouda,unknown,,not_found
Samakouris Stamatis,unknown,,not_found
Dimitra Tasiouli,unknown,,not_found
Michalos Konstantinos,unknown,,not_found
Lianou Ioanna,unknown,,not_found
Spyridaki Ioanna,unknown,,not_found
"Schillmark, Nils",male,1745,matched
