creator_clean,gender,birth_year,match_status
Ιθακήσιος Βασ.,unknown,,not_found
Pige Francesco,unknown,,not_found
Drechsler Johann-Baptist,unknown,,not_found
Moritz Adler,male,1849,matched
Σαρλής Νικάς,unknown,,not_found
Μποκατσιάμπης Βικ.,unknown,,not_found
Κορυζής Γ.,unknown,,not_found
Παξινόπουλος Σπυρίδων,unknown,,not_found
Dürch Friedrich,unknown,,not_found
Αγκοπιάν Σιμόν,unknown,,not_found
Μαργαρίτης Γεώργιος,unknown,,not_found
Somers Louis-Jean,unknown,,not_found
Κάρλοβιτς Λ. Ε.,unknown,,not_found
Γιαννοπούλου Κική,unknown,,not_found
Gosse Nicolas-Louis-Francois,unknown,,not_found
Ζωγράφος Ζαχαρίας,unknown,,not_found
Αγνωστος,unknown,,not_found
"Smith, J.",male,,matched
Κατραβάς Νικόλαος,unknown,,not_found
Rob Havelt and Son,unknown,,not_found
Μαρίνογλου Ν.,unknown,,not_found
Οικονόμου Αρ.,unknown,,not_found
"Bentley, J. C.",unknown,,not_found
